Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
187,Avaniyapuram.-625012,506,0,tamilaga vettri kazhagam,120,0.0,No
178,Avaniapuram-625012.,531,0,tamilaga vettri kazhagam,101,0.0,No
39,Thoppur-625008,429,0,dravida munnetra kazhagam,36,0.0,No
87,East  Portion Thiyagarajar colony-625004,665,0,tamilaga vettri kazhagam,116,0.0,No
90,Near A.H.M Room Pasumalai-625004,503,0,tamilaga vettri kazhagam,113,0.0,No
169,Avaniyapuram-625012,774,0,tamilaga vettri kazhagam,188,0.0,No
165,west Portion,792,0,dravida munnetra kazhagam,40,0.0,No
93,Western Portion Thiruparankundram-625005,618,0,tamilaga vettri kazhagam,60,0.0,No
95,Thiruparankundram-625005,452,0,tamilaga vettri kazhagam,69,0.0,No
68,West Building South Portion Thirunagar-625006,924,0,tamilaga vettri kazhagam,106,0.0,No
99,Thiruparankundram-625005,666,0,tamilaga vettri kazhagam,169,0.0,No
30,"south building west portion
Keelakuilkudi-625019",359,0,dravida munnetra kazhagam,16,0.0,No
